ingredient,nutrient,quantity_per_gram,units
"Almonds, whole kernels",Vitamin B12,0,GRAMS
"Almonds, whole kernels",Vitamin B9,0.44,GRAMS
"Almonds, whole kernels",Vitamin B5,0.005,GRAMS
"Almonds, whole kernels",Vitamin B7,0.64,GRAMS
"Almonds, whole kernels",Vitamin C,0,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Protein,0.005,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Fat,0.004,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Carbohydrate,0.1,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",kcal,0.43,KCAL
"Apples, eating, raw, flesh and skin, weighed with core",Sugars,0.1,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Fibre,0.01,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Fatty acids,0.004,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Saturated fat,0.001,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Trans fat,0,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Sodium,0.01,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Potassium,0.87,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Calcium,0.05,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Magnesium,0.04,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Phosphorus,0.07,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Iron,0.001,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Zinc,0,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Selenium,0,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Iodine,0.04,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin D,0,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin E,0.001,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin K1,0.049,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin B1,0,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin B2,0,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin B3,0.001,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin B6,0.001,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin B12,0,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin B9,0,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin B5,0.001,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin B7,0.01,GRAMS
"Apples, eating, raw, flesh and skin, weighed with core",Vitamin C,0.05,GRAMS
"Artichoke, globe, raw",Protein,0.028,GRAMS
"Artichoke, globe, raw",Fat,0.002,GRAMS
"Artichoke, globe, raw",Carbohydrate,0.027,GRAMS
"Artichoke, globe, raw",kcal,0.18,KCAL
"Artichoke, globe, raw",Sugars,0.013,GRAMS
"Artichoke, globe, raw",Fibre,0,GRAMS
"Artichoke, globe, raw",Fatty acids,0.002,GRAMS
"Artichoke, globe, raw",Saturated fat,0.001,GRAMS
"Artichoke, globe, raw",Trans fat,0,GRAMS
"Artichoke, globe, raw",Sodium,0.27,GRAMS
"Artichoke, globe, raw",Potassium,3.6,GRAMS
"Artichoke, globe, raw",Calcium,0.41,GRAMS
"Artichoke, globe, raw",Magnesium,0.22,GRAMS
"Artichoke, globe, raw",Phosphorus,0.38,GRAMS
"Artichoke, globe, raw",Iron,0.007,GRAMS
"Artichoke, globe, raw",Zinc,0.005,GRAMS
"Artichoke, globe, raw",Selenium,0,GRAMS
"Artichoke, globe, raw",Iodine,0,GRAMS
"Artichoke, globe, raw",Vitamin D,0,GRAMS
"Artichoke, globe, raw",Vitamin E,0,GRAMS
"Artichoke, globe, raw",Vitamin K1,0,GRAMS
"Artichoke, globe, raw",Vitamin B1,0.001,GRAMS
"Artichoke, globe, raw",Vitamin B2,0.001,GRAMS
"Artichoke, globe, raw",Vitamin B3,0.013,GRAMS
"Artichoke, globe, raw",Vitamin B6,0,GRAMS
"Artichoke, globe, raw",Vitamin B12,0,GRAMS
"Artichoke, globe, raw",Vitamin B9,0.68,GRAMS
"Artichoke, globe, raw",Vitamin B5,0.003,GRAMS
"Artichoke, globe, raw",Vitamin B7,0.041,GRAMS
"Artichoke, globe, raw",Vitamin C,0.02,GRAMS
Asafoetida,Protein,0.04,GRAMS
Asafoetida,Fat,0.011,GRAMS
Asafoetida,Carbohydrate,0,GRAMS
Asafoetida,kcal,0,KCAL
Asafoetida,Sugars,0,GRAMS
Asafoetida,Fibre,0,GRAMS
Asafoetida,Fatty acids,0.011,GRAMS
Asafoetida,Saturated fat,0,GRAMS
Asafoetida,Trans fat,0,GRAMS
Asafoetida,Sodium,0,GRAMS
Asafoetida,Potassium,0,GRAMS
Asafoetida,Calcium,6.9,GRAMS
Asafoetida,Magnesium,0,GRAMS
Asafoetida,Phosphorus,0.5,GRAMS
Asafoetida,Iron,0.222,GRAMS
Asafoetida,Zinc,0,GRAMS
Asafoetida,Selenium,0,GRAMS
Asafoetida,Iodine,0,GRAMS
Asafoetida,Vitamin D,0,GRAMS
Asafoetida,Vitamin E,0,GRAMS
Asafoetida,Vitamin K1,0,GRAMS
Asafoetida,Vitamin B1,0,GRAMS
Asafoetida,Vitamin B2,0,GRAMS
Asafoetida,Vitamin B3,0.003,GRAMS
Asafoetida,Vitamin B6,0,GRAMS
Asafoetida,Vitamin B12,0,GRAMS
Asafoetida,Vitamin B9,0,GRAMS
Asafoetida,Vitamin B5,0,GRAMS
Asafoetida,Vitamin B7,0,GRAMS
Asafoetida,Vitamin C,0,GRAMS
"Asparagus, raw",Protein,0.029,GRAMS
"Asparagus, raw",Fat,0.006,GRAMS
"Asparagus, raw",Carbohydrate,0.02,GRAMS
"Asparagus, raw",kcal,0.25,KCAL
"Asparagus, raw",Sugars,0.019,GRAMS
"Asparagus, raw",Fibre,0,GRAMS
"Asparagus, raw",Fatty acids,0.006,GRAMS
"Asparagus, raw",Saturated fat,0.001,GRAMS
"Asparagus, raw",Trans fat,0,GRAMS
"Asparagus, raw",Sodium,0.01,GRAMS
"Asparagus, raw",Potassium,2.6,GRAMS
"Asparagus, raw",Calcium,0.27,GRAMS
"Asparagus, raw",Magnesium,0.13,GRAMS
"Asparagus, raw",Phosphorus,0.72,GRAMS
"Asparagus, raw",Iron,0.007,GRAMS
"Asparagus, raw",Zinc,0.007,GRAMS
"Asparagus, raw",Selenium,0.01,GRAMS
"Asparagus, raw",Iodine,0,GRAMS
"Asparagus, raw",Vitamin D,0,GRAMS
"Asparagus, raw",Vitamin E,0,GRAMS
"Asparagus, raw",Vitamin K1,0,GRAMS
"Asparagus, raw",Vitamin B1,0.002,GRAMS
"Asparagus, raw",Vitamin B2,0.001,GRAMS
"Asparagus, raw",Vitamin B3,0.01,GRAMS
"Asparagus, raw",Vitamin B6,0.001,GRAMS
"Asparagus, raw",Vitamin B12,0,GRAMS
"Asparagus, raw",Vitamin B9,1.75,GRAMS
"Asparagus, raw",Vitamin B5,0.002,GRAMS
"Asparagus, raw",Vitamin B7,0.004,GRAMS
"Asparagus, raw",Vitamin C,0.12,GRAMS
"Aubergine, raw",Protein,0.009,GRAMS
"Aubergine, raw",Fat,0.004,GRAMS
"Aubergine, raw",Carbohydrate,0.022,GRAMS
"Aubergine, raw",kcal,0.15,KCAL
"Aubergine, raw",Sugars,0.02,GRAMS
"Aubergine, raw",Fibre,0,GRAMS
"Aubergine, raw",Fatty acids,0.004,GRAMS
"Aubergine, raw",Saturated fat,0.001,GRAMS
"Aubergine, raw",Trans fat,0,GRAMS
"Aubergine, raw",Sodium,0.02,GRAMS
"Aubergine, raw",Potassium,2.1,GRAMS
"Aubergine, raw",Calcium,0.1,GRAMS
"Aubergine, raw",Magnesium,0.11,GRAMS
"Aubergine, raw",Phosphorus,0.16,GRAMS
"Aubergine, raw",Iron,0.003,GRAMS
"Aubergine, raw",Zinc,0.002,GRAMS
"Aubergine, raw",Selenium,0.01,GRAMS
"Aubergine, raw",Iodine,0.01,GRAMS
"Aubergine, raw",Vitamin D,0,GRAMS
"Aubergine, raw",Vitamin E,0,GRAMS
"Aubergine, raw",Vitamin K1,0,GRAMS
"Aubergine, raw",Vitamin B1,0,GRAMS
"Aubergine, raw",Vitamin B2,0,GRAMS
"Aubergine, raw",Vitamin B3,0.001,GRAMS
"Aubergine, raw",Vitamin B6,0.001,GRAMS
"Aubergine, raw",Vitamin B12,0,GRAMS
"Aubergine, raw",Vitamin B9,0.18,GRAMS
"Aubergine, raw",Vitamin B5,0.001,GRAMS
"Aubergine, raw",Vitamin B7,0,GRAMS
"Aubergine, raw",Vitamin C,0.04,GRAMS
"Avocado, Hass, flesh only",Protein,0.018,GRAMS
"Avocado, Hass, flesh only",Fat,0.174,GRAMS
"Avocado, Hass, flesh only",Carbohydrate,0.018,GRAMS
"Avocado, Hass, flesh only",kcal,1.71,KCAL
"Avocado, Hass, flesh only",Sugars,0.004,GRAMS
"Avocado, Hass, flesh only",Fibre,0.031,GRAMS
"Avocado, Hass, flesh only",Fatty acids,0.174,GRAMS
"Avocado, Hass, flesh only",Saturated fat,0.042,GRAMS
"Avocado, Hass, flesh only",Trans fat,0,GRAMS
"Avocado, Hass, flesh only",Sodium,0.07,GRAMS
"Avocado, Hass, flesh only",Potassium,5.83,GRAMS
"Avocado, Hass, flesh only",Calcium,0.19,GRAMS
"Avocado, Hass, flesh only",Magnesium,0.27,GRAMS
"Avocado, Hass, flesh only",Phosphorus,0.57,GRAMS
"Avocado, Hass, flesh only",Iron,0.005,GRAMS
"Avocado, Hass, flesh only",Zinc,0.006,GRAMS
"Avocado, Hass, flesh only",Selenium,0,GRAMS
"Avocado, Hass, flesh only",Iodine,0.01,GRAMS
"Avocado, Hass, flesh only",Vitamin D,0,GRAMS
"Avocado, Hass, flesh only",Vitamin E,0,GRAMS
"Avocado, Hass, flesh only",Vitamin K1,0,GRAMS
"Avocado, Hass, flesh only",Vitamin B1,0.001,GRAMS
"Avocado, Hass, flesh only",Vitamin B2,0.001,GRAMS
"Avocado, Hass, flesh only",Vitamin B3,0.021,GRAMS
"Avocado, Hass, flesh only",Vitamin B6,0.003,GRAMS
"Avocado, Hass, flesh only",Vitamin B12,0,GRAMS
"Avocado, Hass, flesh only",Vitamin B9,0.31,GRAMS
"Avocado, Hass, flesh only",Vitamin B5,0.013,GRAMS
"Avocado, Hass, flesh only",Vitamin B7,0.024,GRAMS
"Avocado, Hass, flesh only",Vitamin C,0.01,GRAMS
"Bananas, flesh only",Protein,0.012,GRAMS
"Bananas, flesh only",Fat,0.001,GRAMS
"Bananas, flesh only",Carbohydrate,0.203,GRAMS
"Bananas, flesh only",kcal,0.81,KCAL
"Bananas, flesh only",Sugars,0.181,GRAMS
"Bananas, flesh only",Fibre,0.014,GRAMS
"Bananas, flesh only",Fatty acids,0.001,GRAMS
"Bananas, flesh only",Saturated fat,0,GRAMS
"Bananas, flesh only",Trans fat,0,GRAMS
"Bananas, flesh only",Sodium,0,GRAMS
"Bananas, flesh only",Potassium,3.3,GRAMS
"Bananas, flesh only",Calcium,0.06,GRAMS
"Bananas, flesh only",Magnesium,0.27,GRAMS
"Bananas, flesh only",Phosphorus,0.23,GRAMS
"Bananas, flesh only",Iron,0.003,GRAMS
"Bananas, flesh only",Zinc,0.002,GRAMS
"Bananas, flesh only",Selenium,0,GRAMS
"Bananas, flesh only",Iodine,0.03,GRAMS
"Bananas, flesh only",Vitamin D,0,GRAMS
"Bananas, flesh only",Vitamin E,0,GRAMS
"Bananas, flesh only",Vitamin K1,0,GRAMS
"Bananas, flesh only",Vitamin B1,0.002,GRAMS
"Bananas, flesh only",Vitamin B2,0,GRAMS
"Bananas, flesh only",Vitamin B3,0.007,GRAMS
"Bananas, flesh only",Vitamin B6,0.003,GRAMS
"Bananas, flesh only",Vitamin B12,0,GRAMS
"Bananas, flesh only",Vitamin B9,0.14,GRAMS
"Bananas, flesh only",Vitamin B5,0.004,GRAMS
"Bananas, flesh only",Vitamin B7,0.025,GRAMS
"Bananas, flesh only",Vitamin C,0.09,GRAMS
"Basil, dried, ground",Protein,0.144,GRAMS
"Basil, dried, ground",Fat,0.04,GRAMS
"Basil, dried, ground",Carbohydrate,0.432,GRAMS
"Basil, dried, ground",kcal,2.51,KCAL
"Basil, dried, ground",Sugars,0,GRAMS
"Basil, dried, ground",Fibre,0,GRAMS
"Basil, dried, ground",Fatty acids,0.04,GRAMS
"Basil, dried, ground",Saturated fat,0,GRAMS
"Basil, dried, ground",Trans fat,0,GRAMS
"Basil, dried, ground",Sodium,0.34,GRAMS
"Basil, dried, ground",Potassium,34.3,GRAMS
"Basil, dried, ground",Calcium,21.1,GRAMS
"Basil, dried, ground",Magnesium,4.2,GRAMS
"Basil, dried, ground",Phosphorus,4.9,GRAMS
"Basil, dried, ground",Iron,0.42,GRAMS
"Basil, dried, ground",Zinc,0.058,GRAMS
"Basil, dried, ground",Selenium,0,GRAMS
"Basil, dried, ground",Iodine,0,GRAMS
"Basil, dried, ground",Vitamin D,0,GRAMS
"Basil, dried, ground",Vitamin E,0,GRAMS
"Basil, dried, ground",Vitamin K1,0,GRAMS
"Basil, dried, ground",Vitamin B1,0.002,GRAMS
"Basil, dried, ground",Vitamin B2,0.003,GRAMS
"Basil, dried, ground",Vitamin B3,0.069,GRAMS
"Basil, dried, ground",Vitamin B6,0,GRAMS
"Basil, dried, ground",Vitamin B12,0,GRAMS
"Basil, dried, ground",Vitamin B9,0,GRAMS
"Basil, dried, ground",Vitamin B5,0,GRAMS
"Basil, dried, ground",Vitamin B7,0,GRAMS
"Basil, dried, ground",Vitamin C,0,GRAMS
"Basil, fresh",Protein,0.031,GRAMS
"Basil, fresh",Fat,0.008,GRAMS
"Basil, fresh",Carbohydrate,0.051,GRAMS
"Basil, fresh",kcal,0.4,KCAL
"Basil, fresh",Sugars,0,GRAMS
"Basil, fresh",Fibre,0,GRAMS
"Basil, fresh",Fatty acids,0.008,GRAMS
"Basil, fresh",Saturated fat,0,GRAMS
"Basil, fresh",Trans fat,0,GRAMS
"Basil, fresh",Sodium,0.09,GRAMS
"Basil, fresh",Potassium,3,GRAMS
"Basil, fresh",Calcium,2.5,GRAMS
"Basil, fresh",Magnesium,0.11,GRAMS
"Basil, fresh",Phosphorus,0.37,GRAMS
"Basil, fresh",Iron,0.055,GRAMS
"Basil, fresh",Zinc,0.007,GRAMS
"Basil, fresh",Selenium,0,GRAMS
"Basil, fresh",Iodine,0,GRAMS
"Basil, fresh",Vitamin D,0,GRAMS
"Basil, fresh",Vitamin E,0,GRAMS
"Basil, fresh",Vitamin K1,0,GRAMS
"Basil, fresh",Vitamin B1,0.001,GRAMS
"Basil, fresh",Vitamin B2,0.003,GRAMS
"Basil, fresh",Vitamin B3,0.011,GRAMS
"Basil, fresh",Vitamin B6,0,GRAMS
"Basil, fresh",Vitamin B12,0,GRAMS
"Basil, fresh",Vitamin B9,0,GRAMS
"Basil, fresh",Vitamin B5,0,GRAMS
"Basil, fresh",Vitamin B7,0,GRAMS
"Basil, fresh",Vitamin C,0.26,GRAMS
"Bay leaf, dried",Protein,0.076,GRAMS
"Bay leaf, dried",Fat,0.084,GRAMS
"Bay leaf, dried",Carbohydrate,0.486,GRAMS
"Bay leaf, dried",kcal,3.13,KCAL
"Bay leaf, dried",Sugars,0,GRAMS
"Bay leaf, dried",Fibre,0,GRAMS
"Bay leaf, dried",Fatty acids,0.084,GRAMS
"Bay leaf, dried",Saturated fat,0.023,GRAMS
"Bay leaf, dried",Trans fat,0,GRAMS
"Bay leaf, dried",Sodium,0.23,GRAMS
"Bay leaf, dried",Potassium,5.3,GRAMS
"Bay leaf, dried",Calcium,8.3,GRAMS
"Bay leaf, dried",Magnesium,1.2,GRAMS
"Bay leaf, dried",Phosphorus,1.1,GRAMS
"Bay leaf, dried",Iron,0.43,GRAMS
"Bay leaf, dried",Zinc,0.037,GRAMS
"Bay leaf, dried",Selenium,0,GRAMS
"Bay leaf, dried",Iodine,0,GRAMS
"Bay leaf, dried",Vitamin D,0,GRAMS
"Bay leaf, dried",Vitamin E,0,GRAMS
"Bay leaf, dried",Vitamin K1,0,GRAMS
"Bay leaf, dried",Vitamin B1,0,GRAMS
"Bay leaf, dried",Vitamin B2,0.004,GRAMS
"Bay leaf, dried",Vitamin B3,0.02,GRAMS
"Bay leaf, dried",Vitamin B6,0,GRAMS
"Bay leaf, dried",Vitamin B12,0,GRAMS
"Bay leaf, dried",Vitamin B9,0,GRAMS
"Bay leaf, dried",Vitamin B5,0,GRAMS
"Bay leaf, dried",Vitamin B7,0,GRAMS
"Bay leaf, dried",Vitamin C,0,GRAMS
"Beansprouts, mung, raw",Protein,0.029,GRAMS
"Beansprouts, mung, raw",Fat,0.005,GRAMS
"Beansprouts, mung, raw",Carbohydrate,0.04,GRAMS
"Beansprouts, mung, raw",kcal,0.31,KCAL
"Beansprouts, mung, raw",Sugars,0.022,GRAMS
"Beansprouts, mung, raw",Fibre,0,GRAMS
"Beansprouts, mung, raw",Fatty acids,0.005,GRAMS
"Beansprouts, mung, raw",Saturated fat,0.001,GRAMS
"Beansprouts, mung, raw",Trans fat,0,GRAMS
"Beansprouts, mung, raw",Sodium,0.05,GRAMS
"Beansprouts, mung, raw",Potassium,0.74,GRAMS
"Beansprouts, mung, raw",Calcium,0.2,GRAMS
"Beansprouts, mung, raw",Magnesium,0.18,GRAMS
"Beansprouts, mung, raw",Phosphorus,0.48,GRAMS
"Beansprouts, mung, raw",Iron,0.017,GRAMS
"Beansprouts, mung, raw",Zinc,0.003,GRAMS
"Beansprouts, mung, raw",Selenium,0.01,GRAMS
"Beansprouts, mung, raw",Iodine,0,GRAMS
"Beansprouts, mung, raw",Vitamin D,0,GRAMS
"Beansprouts, mung, raw",Vitamin E,0,GRAMS
"Beansprouts, mung, raw",Vitamin K1,0,GRAMS
"Beansprouts, mung, raw",Vitamin B1,0.001,GRAMS
"Beansprouts, mung, raw",Vitamin B2,0,GRAMS
"Beansprouts, mung, raw",Vitamin B3,0.005,GRAMS
"Beansprouts, mung, raw",Vitamin B6,0.001,GRAMS
"Beansprouts, mung, raw",Vitamin B12,0,GRAMS
"Beansprouts, mung, raw",Vitamin B9,0.61,GRAMS
"Beansprouts, mung, raw",Vitamin B5,0.004,GRAMS
"Beansprouts, mung, raw",Vitamin B7,0,GRAMS
"Beansprouts, mung, raw",Vitamin C,0.07,GRAMS
"Beetroot, raw",Protein,0.017,GRAMS
"Beetroot, raw",Fat,0.001,GRAMS
"Beetroot, raw",Carbohydrate,0.076,GRAMS
"Beetroot, raw",kcal,0.36,KCAL
"Beetroot, raw",Sugars,0.07,GRAMS
"Beetroot, raw",Fibre,0,GRAMS
"Beetroot, raw",Fatty acids,0.001,GRAMS
"Beetroot, raw",Saturated fat,0,GRAMS
"Beetroot, raw",Trans fat,0,GRAMS
"Beetroot, raw",Sodium,0.66,GRAMS
"Beetroot, raw",Potassium,3.8,GRAMS
"Beetroot, raw",Calcium,0.2,GRAMS
"Beetroot, raw",Magnesium,0.11,GRAMS
"Beetroot, raw",Phosphorus,0.51,GRAMS
"Beetroot, raw",Iron,0.01,GRAMS
"Beetroot, raw",Zinc,0.004,GRAMS
"Beetroot, raw",Selenium,0,GRAMS
"Beetroot, raw",Iodine,0,GRAMS
"Beetroot, raw",Vitamin D,0,GRAMS
"Beetroot, raw",Vitamin E,0,GRAMS
"Beetroot, raw",Vitamin K1,0,GRAMS
"Beetroot, raw",Vitamin B1,0,GRAMS
"Beetroot, raw",Vitamin B2,0,GRAMS
"Beetroot, raw",Vitamin B3,0.001,GRAMS
"Beetroot, raw",Vitamin B6,0,GRAMS
"Beetroot, raw",Vitamin B12,0,GRAMS
"Beetroot, raw",Vitamin B9,1.5,GRAMS
"Beetroot, raw",Vitamin B5,0.001,GRAMS
"Beetroot, raw",Vitamin B7,0,GRAMS
"Beetroot, raw",Vitamin C,0.05,GRAMS
"Blackberries, raw",Protein,0.011,GRAMS
"Blackberries, raw",Fat,0.002,GRAMS
"Blackberries, raw",Carbohydrate,0.056,GRAMS
"Blackberries, raw",kcal,0.27,KCAL
"Blackberries, raw",Sugars,0.056,GRAMS
"Blackberries, raw",Fibre,0.034,GRAMS
"Blackberries, raw",Fatty acids,0.002,GRAMS
"Blackberries, raw",Saturated fat,0,GRAMS
"Blackberries, raw",Trans fat,0,GRAMS
"Blackberries, raw",Sodium,0.01,GRAMS
"Blackberries, raw",Potassium,1.54,GRAMS
"Blackberries, raw",Calcium,0.24,GRAMS
"Blackberries, raw",Magnesium,0.18,GRAMS
"Blackberries, raw",Phosphorus,0.24,GRAMS
"Blackberries, raw",Iron,0.003,GRAMS
"Blackberries, raw",Zinc,0.002,GRAMS
"Blackberries, raw",Selenium,0,GRAMS
"Blackberries, raw",Iodine,0.01,GRAMS
"Blackberries, raw",Vitamin D,0,GRAMS
"Blackberries, raw",Vitamin E,0,GRAMS
"Blackberries, raw",Vitamin K1,0,GRAMS
"Blackberries, raw",Vitamin B1,0,GRAMS
"Blackberries, raw",Vitamin B2,0.001,GRAMS
"Blackberries, raw",Vitamin B3,0.005,GRAMS
"Blackberries, raw",Vitamin B6,0.001,GRAMS
"Blackberries, raw",Vitamin B12,0,GRAMS
"Blackberries, raw",Vitamin B9,0.34,GRAMS
"Blackberries, raw",Vitamin B5,0.003,GRAMS
"Blackberries, raw",Vitamin B7,0.004,GRAMS
"Blackberries, raw",Vitamin C,0.07,GRAMS
"Blackcurrants, raw",Protein,0.009,GRAMS
"Blackcurrants, raw",Fat,0,GRAMS
"Blackcurrants, raw",Carbohydrate,0.066,GRAMS
"Blackcurrants, raw",kcal,0.28,KCAL
"Blackcurrants, raw",Sugars,0.066,GRAMS
"Blackcurrants, raw",Fibre,0,GRAMS
"Blackcurrants, raw",Fatty acids,0,GRAMS
"Blackcurrants, raw",Saturated fat,0,GRAMS
"Blackcurrants, raw",Trans fat,0,GRAMS
"Blackcurrants, raw",Sodium,0.03,GRAMS
"Blackcurrants, raw",Potassium,3.7,GRAMS
"Blackcurrants, raw",Calcium,0.6,GRAMS
"Blackcurrants, raw",Magnesium,0.17,GRAMS
"Blackcurrants, raw",Phosphorus,0.43,GRAMS
"Blackcurrants, raw",Iron,0.013,GRAMS
"Blackcurrants, raw",Zinc,0.003,GRAMS
"Blackcurrants, raw",Selenium,0,GRAMS
"Blackcurrants, raw",Iodine,0,GRAMS
"Blackcurrants, raw",Vitamin D,0,GRAMS
"Blackcurrants, raw",Vitamin E,0,GRAMS
"Blackcurrants, raw",Vitamin K1,0,GRAMS
"Blackcurrants, raw",Vitamin B1,0,GRAMS
"Blackcurrants, raw",Vitamin B2,0.001,GRAMS
"Blackcurrants, raw",Vitamin B3,0.003,GRAMS
"Blackcurrants, raw",Vitamin B6,0.001,GRAMS
"Blackcurrants, raw",Vitamin B12,0,GRAMS
"Blackcurrants, raw",Vitamin B9,0,GRAMS
